Category,GDLCODE,Description,Unit,Organisation,Type_of_Organisation,URL,Year_of_Publication
Hazard,FL100yr,Flood hazard map of the World - 100-year return period,100 Year RP,European Commission – Joint Research Centre,Regional Intergovernmental Organisation,https://data.europa.eu/data/datasets/jrc-floods-floodmapgl_rp100y-tif?locale=en,2016
Hazard,,STORM tropical cyclone wind speed return periods,-,Institute for Environmental Studies (IVM),Academic,https://data.4tu.nl/articles/dataset/STORM_tropical_cyclone_wind_speed_return_periods/12705164,2020
Hazard,EHt20yr,Global Extreme Heat Hazard,20 Year Max WBGT Celsius,World Bank,UN & International Organisations,https://datacatalog.worldbank.org/search/dataset/0040194/Global-extreme-heat-hazar,2017
Hazard,EQ475yr,Global Earthquake Hazard,475 Year RP,International Centre for Numerical Methods in Engineering (CIMNE) & INGENIAR Ltda,Academic & Private,https://datacatalog.worldbank.org/search/dataset/0038576/Global-earthquake-hazard,2015
Hazard,ArPlltn,Air Pollution - Surface PM2.5,micrograms/m^3,Washington University in St. Louis,Academic,https://sites.wustl.edu/acag/datasets/surface-pm2-5/#V5.GL.02,2021
Hazard,VC,Global Volcanic Ash Hazard,-,Smithsonian Institution Global Volcanism Program (GVP),Academic,https://datacatalog.worldbank.org/search/dataset/0038605/Global-volcanic-ash-hazard,2022
Hazard,LS,Global Landslide Hazard Map (Earthquake Trigger),/km^2,World Bank,UN & International Organisations,https://datacatalog.worldbank.org/search/dataset/0037584/Global-landslide-hazard-map,2020
Exposure,POPULAT,Population Counts - Constrained Individual Countries 2020 UN-Adjusted,,WorldPop,Academic & International Organisation,https://www.worldpop.org/,2021
Exposure,GDP,Gridded global datasets for Gross Domestic Product over 1990–2015,USD-2011,Aalto University,Academic,https://www.nature.com/articles/sdata20184,2018
Exposure,Ovr64Pp,Over 64 Population,-,WorldPop + World Bank,Academic & International Organisation,https://www.worldpop.org/,2021
Exposure,FemalPp,Female Population,-,WorldPop + World Bank,Academic & International Organisation,https://www.worldpop.org/,2021
Exposure,Undr14P,Under 14 Population,-,WorldPop + World Bank,Academic & International Organisation,https://www.worldpop.org/,2021
Vulnerability,SHDI,Subnational Human Development Index,-,Global Data Lab,Academic,https://globaldatalab.org/shdi/about/,2022
Vulnerability,GrssNtI,Gross National Income,USD-2011,Global Data Lab,Academic,https://globaldatalab.org/shdi/table/,2022
Vulnerability,LifeExp,Life Expectancy,Year,Global Data Lab,Academic,https://globaldatalab.org/shdi/table/,2022
Vulnerability,HealthI,Health Index,-,Global Data Lab,Academic,https://globaldatalab.org/shdi/table/,2022
Vulnerability,EductnI,Education Index,-,Global Data Lab,Academic,https://globaldatalab.org/shdi/table/,2022
Vulnerability,MnSchlY,Mean Schooling Years,Year,Global Data Lab,Academic,https://globaldatalab.org/shdi/table/,2022
Vulnerability,LvngStI,Living Standards Index,-,Global Data Lab,Academic,https://globaldatalab.org/shdi/table/,2022
Climate Change,AnnMxDMT,Max temperature - CMIP5 monthly data on single levels,Celsius,Copernicus - Climate Data Store,International & National Organisations,https://cds.climate.copernicus.eu/cdsapp#!/dataset/projections-cmip5-monthly-single-levels?tab=overview,2018
Climate Change,AnnMnDMT,Min temperature - CMIP5 monthly data on single levels,Celsius,Copernicus - Climate Data Store,International & National Organisations,https://cds.climate.copernicus.eu/cdsapp#!/dataset/projections-cmip5-monthly-single-levels?tab=overview,2018
Climate Change,MxCnsWD,Consecutive wet days - CMIP5 monthly data on single levels,Days,Copernicus - Climate Data Store,International & National Organisations,https://cds.climate.copernicus.eu/cdsapp#!/dataset/projections-cmip5-monthly-single-levels?tab=overview,2018
Climate Change,MxCnsDD,Consecutive dry days - CMIP5 monthly data on single levels,Days,Copernicus - Climate Data Store,International & National Organisations,https://cds.climate.copernicus.eu/cdsapp#!/dataset/projections-cmip5-monthly-single-levels?tab=overview,2018
Climate Change,STD2022,Surface temperature difference 2050/2022 - CMIP6 climate projections,Celsius,Copernicus - Climate Data Store,International & National Organisations,https://cds.climate.copernicus.eu/cdsapp#!/dataset/projections-cmip6?tab=overview,2021
Climate Change,PD2022_,Precipitation difference 2050/2022 - CMIP6 climate projections,kg/m/yr,Copernicus - Climate Data Store,International & National Organisations,https://cds.climate.copernicus.eu/cdsapp#!/dataset/projections-cmip6?tab=overview,2021
Hazard,Tsunami,Tsunami Hazard,20 Year RP,,,,
Vulnerability,ExpctSY,Expected Schooling Years,Year,,,,
Hazard,DR50yr,Drought Frequency for 50 year return period,50 Year RP,,,,
